//HSK 2012-2017/Level 1
参加[參加]	can1jia1
草[草]	cao3
层[層]	ceng2
差[差]	cha4
超市[超市]	chao1shi4
衬衫[襯衫]	chen4shan1
成绩[成績]	cheng2ji4
城市[城市]	cheng2shi4
迟到[遲到]	chi2dao4
除了[除了]	chu2le5
船[船]	chuan2
春[春]	chun1
词典[詞典]	ci2dian3
聪明[聰明]	cong1ming5
打扫[打掃]	da3sao3
打算[打算]	da3suan5
带[帶]	dai4
担心[擔心]	dan1xin1
蛋糕[蛋糕]	dan4gao1
当然[當然]	dang1ran2
地[地]	de5
灯[燈]	deng1
地方[地方]	di4fang5
地铁[地鐵]	di4tie3
地图[地圖]	di4tu2
电梯[電梯]	dian4ti1
电子邮件[電子郵件]	dian4zi3you2jian4
东[東]	dong1
冬[冬]	dong1
动物[動物]	dong4wu4
短[短]	duan3
段[段]	duan4
锻炼[鍛煉]	duan4lian4
多么[多麼]	duo1me5
饿[餓]	e4
耳朵[耳朵]	er3duo5
发[發]	fa1
发烧[發燒]	fa1shao1
发现[發現]	fa1xian4
方便[方便]	fang1bian4
放[放]	fang4
放心[放心]	fang4xin1
分[分]	fen1
附近[附近]	fu4jin4
复习[複習]	fu4xi2
干净[乾淨]	gan1jing4
感冒[感冒]	gan3mao4
感兴趣[感興趣]	gan3xing4qu4
刚才[剛纔]	gang1cai2
个子[個子]	ge4zi5
根据[根據]	gen1ju4
跟[跟]	gen1
更[更]	geng4
公斤[公斤]	gong1jin1
公园[公園]	gong1yuan2
故事[故事]	gu4shi5
刮风[颳風]	gua1feng1
关[關]	guan1
关系[關係]	guan1xi5
关心[關心]	guan1xin1
关于[關於]	guan1yu2
国家[國家]	guo2jia1
过[過]	guo4	cross; pass; go over; spend (time); undergo
过去[過去]	guo4qu5
还是[還是]	hai2shi5
害怕[害怕]	hai4pa4
黑板[黑板]	hei1ban3
后来[後來]	hou4lai2
护照[護照]	hu4zhao4
花[花]	hua1
画[畫]	hua4
坏[壞]	huai4
欢迎[歡迎]	huan1ying2
还[還]	huan2
环境[環境]	huan2jing4
换[換]	huan4
黄河[黃河]	Huang2he2
回答[回答]	hui2da2
会议[會議]	hui4yi4
或者[或者]	huo4zhe3
几乎[幾乎]	ji1hu1
机会[機會]	ji1hui4
极[極]	ji2
记得[記得]	ji4de5
季节[季節]	ji4jie2
检查[檢查]	jian3cha2
简单[簡單]	jian3dan1
见面[見面]	jian4mian4
健康[健康]	jian4kang1
讲[講]	jiang3
教[教]	jiao4
角[角]	jiao3
脚[腳]	jiao3
接[接]	jie1
街道[街道]	jie1dao4
节目[節目]	jie2mu4
节日[節日]	jie2ri4
结婚[結婚]	jie2hun1
结束[結束]	jie2shu4
解决[解決]	jie3jue2
借[借]	jie4
经常[經常]	jing1chang2
经过[經過]	jing1guo4
经理[經理]	jing1li3
久[久]	jiu3
旧[舊]	jiu4
句子[句子]	ju4zi5
决定[決定]	jue2ding4
可爱[可愛]	ke3ai4
渴[渴]	ke3
刻[刻]	ke4
客人[客人]	ke4ren5
空调[空調]	kong1tiao2
口[口]	kou3
哭[哭]	ku1
裤子[褲子]	ku4zi5
筷子[筷子]	kuai4zi5
蓝[藍]	lan2
老[老]	lao3
离开[離開]	li2kai1
礼物[禮物]	li3wu4
历史[歷史]	li4shi3
脸[臉]	lian3
练习[練習]	lian4xi2
辆[輛]	liang4
聊天[聊天]	liao2tian1
了解[了解]	liao3jie3
邻居[鄰居]	lin2ju1
留学[留學]	liu2xue2
楼[樓]	lou2
绿[綠]	lv4
马[馬]	ma3
马上[馬上]	ma3shang4
满意[滿意]	man3yi4
帽子[帽子]	mao4zi5
米[米]	mi3
面包[麵包]	mian4bao1
明白[明白]	ming2bai5
拿[拿]	na2
奶奶[奶奶]	nai3nai5
南[南]	nan2
难[難]	nan2
难过[難過]	nan2guo4
年级[年級]	nian2ji2
